Year,Athlete,Country/State,Time,Notes,Gender
1966,Bobbi Gibb,United States (MA),3:21:40,(unsanctioned)[4],women
1967,Bobbi Gibb,United States (CA),3:27:17,(unsanctioned) 2nd victory[4],women
1968,Bobbi Gibb,United States (CA),3:30:00,(unsanctioned) 3rd victory[4],women
1969,Sara Mae Berman,United States (MA),3:22:46,(unsanctioned)[4],women
1970,Sara Mae Berman,United States (MA),3:05:07,(unsanctioned) 2nd victory[4],women
1971,Sara Mae Berman,United States (MA),3:08:30,(unsanctioned) 3rd victory[4],women
1972,Nina Kuscsik,United States (NY),3:10:26,first year that women were officially sanctioned,women
1973,Jacqueline Hansen,United States (CA),3:05:59,,women
1974,Miki Gorman,United States (CA),2:47:11,,women
1975,Liane Winter,West Germany,2:42:24,,women
1976,Kim Merritt,United States (WI),2:47:10,,women
1977,Miki Gorman,United States (CA),2:48:33,2nd victory,women
1978,Gayle Barron,United States (GA),2:44:52,,women
1979,Joan Benoit,United States (ME),2:35:15,,women
1980,Jacqueline Gareau,Canada,2:34:28,[5],women
1981,Allison Roe,New Zealand,2:26:46,,women
1982,Charlotte Teske,West Germany,2:29:33,,women
1983,Joan Benoit,United States (ME),2:22:43,2nd victory,women
1984,Lorraine Moller,New Zealand,2:29:28,,women
1985,Lisa Larsen Weidenbach,United States (MI),2:34:06,,women
1986,Ingrid Kristiansen,Norway,2:24:55,,women
1987,Rosa Mota,Portugal,2:25:21,,women
1988,Rosa Mota,Portugal,2:24:30,2nd victory,women
1989,Ingrid Kristiansen,Norway,2:24:33,2nd victory,women
1990,Rosa Mota,Portugal,2:25:24,3rd victory,women
1991,Wanda Panfil,Poland,2:24:18,,women
1992,Olga Markova,Russia,2:23:43,,women
1993,Olga Markova,Russia,2:25:27,2nd victory,women
1994,Uta Pippig,Germany,2:21:45,,women
1995,Uta Pippig,Germany,2:25:11,2nd victory,women
1996,Uta Pippig,Germany,2:27:12,3rd victory,women
1997,Fatuma Roba,Ethiopia,2:26:23,,women
1998,Fatuma Roba,Ethiopia,2:23:21,2nd victory,women
1999,Fatuma Roba,Ethiopia,2:23:25,3rd victory,women
2000,Catherine Ndereba,Kenya,2:26:11,,women
2001,Catherine Ndereba,Kenya,2:23:53,2nd victory,women
2002,Margaret Okayo,Kenya,2:20:43,,women
2003,Svetlana Zakharova,Russia,2:25:19,,women
2004,Catherine Ndereba,Kenya,2:24:27,3rd victory,women
2005,Catherine Ndereba,Kenya,2:25:12,4th victory,women
2006,Rita Jeptoo,Kenya,2:23:38,,women
2007,Lidiya Grigoryeva,Russia,2:29:18,,women
2008,Dire Tune,Ethiopia,2:25:25,2 seconds ahead of 2nd-place finisher,women
2009,Salina Kosgei,Kenya,2:32:16,1 second ahead of 2nd-place finisher,women
2010,Teyba Erkesso,Ethiopia,2:26:11,3 seconds ahead of 2nd-place finisher,women
2011,Caroline Kilel,Kenya,2:22:36,2 seconds ahead of 2nd-place finisher,women
2012,Sharon Cherop,Kenya,2:31:50,2 seconds ahead of 2nd-place finisher,women
2013,Rita Jeptoo,Kenya,2:26:25,2nd victory,women
2014,Rita Jeptoo,Kenya,2:18:57,"Course record later disqualified[6]",women
2014,Bizunesh Deba,Ethiopia,2:19:59,,women
2015,Caroline Rotich,Kenya,2:24:55,,women
2016,Atsede Baysa,Ethiopia,2:29:19,,women
2017,Edna Kiplagat,Kenya,2:21:52,,women
1897,John J. McDermott,United States (NY),2:55:10,,men
1898,Ronald J. MacDonald,Canada,2:42:00,,men
1899,Lawrence Brignolia,United States (MA),2:54:38,,men
1900,"John ""Jack"" Caffery",Canada,2:39:44,,men
1901,"John ""Jack"" Caffery",Canada,2:29:23,2nd victory,men
1902,Sammy Mellor,United States (NY),2:43:12,,men
1903,John Lorden,United States (MA),2:41:29,,men
1904,Michael Spring,United States (NY),2:38:04,,men
1905,Frederick Lorz,United States (NY),2:38:25,,men
1906,Tim Ford,United States (MA),2:45:45,,men
1907,Thomas Longboat,Canada,2:24:24,,men
1908,Thomas Morrissey,United States (NY),2:25:43,,men
1909,Henri Renaud,United States (NH),2:53:36,,men
